essay,score
"Technology improves education and helps students learn faster.",8
"Pollution is dangerous for the environment and humans.",7
"My school is very good and teachers are helpful.",6
"Artificial intelligence is transforming industries rapidly.",9
"Cricket is a famous sport played in India.",5
"Healthy food keeps our body strong and active.",7
"Books are the best source of knowledge.",6
"Global warming affects climate and wildlife.",8
"The internet helps people communicate worldwide.",7
"Exercise improves mental and physical health.",8
